inspection_id,timestamp,machine_id,product_code,units_inspected,units_passed,defect_type,inspector
QC-0001,2024-01-01 06:00:00,MACH-004,Part-Gamma,82,43,None,Manual-QC2
QC-0002,2024-01-01 06:15:00,MACH-002,Part-Beta,76,3,Dimensional,Auto-Vision
QC-0003,2024-01-01 06:30:00,MACH-005,Part-Gamma,47,47,None,Manual-QC2
QC-0004,2024-01-01 06:45:00,MACH-003,Part-Delta,66,94,None,Manual-QC1
QC-0005,2024-01-01 07:00:00,MACH-002,Part-Beta,87,45,None,Manual-QC1
QC-0006,2024-01-01 07:15:00,MACH-002,Part-Alpha,37,82,None,Manual-QC1
QC-0007,2024-01-01 07:30:00,MACH-001,Part-Gamma,56,100,None,Manual-QC2
QC-0008,2024-01-01 07:45:00,MACH-005,Part-Delta,71,87,None,Auto-Vision
QC-0009,2024-01-01 08:00:00,MACH-002,Part-Gamma,76,55,None,Manual-QC1
QC-0010,2024-01-01 08:15:00,MACH-004,Part-Beta,77,69,None,Auto-Vision
QC-0011,2024-01-01 08:30:00,MACH-004,Part-Alpha,95,16,None,Manual-QC1
QC-0012,2024-01-01 08:45:00,MACH-002,Part-Beta,29,43,None,Manual-QC2
QC-0013,2024-01-01 09:00:00,MACH-001,Part-Beta,55,71,None,Manual-QC1
QC-0014,2024-01-01 09:15:00,MACH-001,Part-Beta,35,54,None,Manual-QC2
QC-0015,2024-01-01 09:30:00,MACH-001,Part-Gamma,74,1,Material Defect,Manual-QC2
QC-0016,2024-01-01 09:45:00,MACH-005,Part-Alpha,17,65,None,Manual-QC2
QC-0017,2024-01-01 10:00:00,MACH-002,Part-Gamma,33,96,None,Manual-QC2
QC-0018,2024-01-01 10:15:00,MACH-002,Part-Delta,32,13,None,Manual-QC2
QC-0019,2024-01-01 10:30:00,MACH-003,Part-Alpha,34,16,None,Auto-Vision
QC-0020,2024-01-01 10:45:00,MACH-001,Part-Beta,39,39,None,Manual-QC2
QC-0021,2024-01-01 11:00:00,MACH-004,Part-Delta,22,76,None,Auto-Vision
QC-0022,2024-01-01 11:15:00,MACH-001,Part-Beta,71,22,None,Manual-QC1
QC-0023,2024-01-01 11:30:00,MACH-002,Part-Alpha,79,5,Surface Scratch,Manual-QC2
QC-0024,2024-01-01 11:45:00,MACH-005,Part-Alpha,84,63,None,Auto-Vision
QC-0025,2024-01-01 12:00:00,MACH-004,Part-Beta,85,89,None,Manual-QC2
QC-0026,2024-01-01 12:15:00,MACH-001,Part-Gamma,62,84,None,Manual-QC1
QC-0027,2024-01-01 12:30:00,MACH-002,Part-Gamma,74,69,None,Manual-QC2
QC-0028,2024-01-01 12:45:00,MACH-003,Part-Gamma,78,39,None,Manual-QC1
QC-0029,2024-01-01 13:00:00,MACH-005,Part-Gamma,90,64,None,Auto-Vision
QC-0030,2024-01-01 13:15:00,MACH-002,Part-Delta,10,48,None,Manual-QC2
QC-0031,2024-01-01 13:30:00,MACH-002,Part-Beta,18,63,None,Manual-QC2
QC-0032,2024-01-01 13:45:00,MACH-004,Part-Gamma,91,95,None,Manual-QC2
QC-0033,2024-01-01 14:00:00,MACH-002,Part-Alpha,39,35,None,Manual-QC1
QC-0034,2024-01-01 14:15:00,MACH-003,Part-Delta,23,95,None,Manual-QC1
QC-0035,2024-01-01 14:30:00,MACH-002,Part-Beta,51,28,None,Auto-Vision
QC-0036,2024-01-01 14:45:00,MACH-002,Part-Beta,88,92,None,Auto-Vision
QC-0037,2024-01-01 15:00:00,MACH-005,Part-Delta,93,84,None,Manual-QC1
QC-0038,2024-01-01 15:15:00,MACH-003,Part-Beta,43,68,None,Manual-QC1
QC-0039,2024-01-01 15:30:00,MACH-003,Part-Gamma,55,48,None,Manual-QC1
QC-0040,2024-01-01 15:45:00,MACH-005,Part-Delta,63,8,None,Manual-QC1
QC-0041,2024-01-01 16:00:00,MACH-004,Part-Gamma,92,7,Surface Scratch,Manual-QC1
QC-0042,2024-01-01 16:15:00,MACH-001,Part-Beta,36,92,None,Manual-QC2
QC-0043,2024-01-01 16:30:00,MACH-003,Part-Alpha,51,62,None,Manual-QC1
QC-0044,2024-01-01 16:45:00,MACH-005,Part-Beta,37,87,None,Manual-QC2
QC-0045,2024-01-01 17:00:00,MACH-003,Part-Alpha,19,39,None,Auto-Vision
QC-0046,2024-01-01 17:15:00,MACH-004,Part-Delta,15,92,None,Manual-QC1
QC-0047,2024-01-01 17:30:00,MACH-004,Part-Beta,45,85,None,Manual-QC2
QC-0048,2024-01-01 17:45:00,MACH-001,Part-Alpha,91,51,None,Manual-QC1
QC-0049,2024-01-01 18:00:00,MACH-004,Part-Gamma,24,68,None,Auto-Vision
QC-0050,2024-01-01 18:15:00,MACH-001,Part-Gamma,62,27,None,Auto-Vision
QC-0051,2024-01-01 18:30:00,MACH-005,Part-Beta,81,19,None,Manual-QC1
QC-0052,2024-01-01 18:45:00,MACH-005,Part-Gamma,81,75,None,Manual-QC1
QC-0053,2024-01-01 19:00:00,MACH-002,Part-Alpha,99,99,None,Manual-QC2
QC-0054,2024-01-01 19:15:00,MACH-003,Part-Delta,37,31,None,Manual-QC1
QC-0055,2024-01-01 19:30:00,MACH-004,Part-Gamma,52,33,None,Manual-QC2
QC-0056,2024-01-01 19:45:00,MACH-003,Part-Gamma,87,10,None,Auto-Vision
QC-0057,2024-01-01 20:00:00,MACH-004,Part-Delta,60,7,Assembly Error,Auto-Vision
QC-0058,2024-01-01 20:15:00,MACH-001,Part-Gamma,12,80,None,Manual-QC1
QC-0059,2024-01-01 20:30:00,MACH-005,Part-Gamma,78,70,None,Manual-QC1
QC-0060,2024-01-01 20:45:00,MACH-001,Part-Alpha,82,19,None,Manual-QC2
QC-0061,2024-01-01 21:00:00,MACH-005,Part-Beta,75,19,None,Manual-QC2
QC-0062,2024-01-01 21:15:00,MACH-005,Part-Beta,19,95,None,Manual-QC1
QC-0063,2024-01-01 21:30:00,MACH-004,Part-Delta,29,91,None,Manual-QC1
QC-0064,2024-01-01 21:45:00,MACH-005,Part-Gamma,68,5,Assembly Error,Auto-Vision
QC-0065,2024-01-01 22:00:00,MACH-003,Part-Alpha,89,57,None,Auto-Vision
QC-0066,2024-01-01 22:15:00,MACH-003,Part-Delta,29,3,Surface Scratch,Manual-QC2
QC-0067,2024-01-01 22:30:00,MACH-003,Part-Delta,93,93,None,Auto-Vision
QC-0068,2024-01-01 22:45:00,MACH-005,Part-Gamma,83,27,None,Auto-Vision
QC-0069,2024-01-01 23:00:00,MACH-002,Part-Gamma,33,20,None,Auto-Vision
