timestamp,machine_id,production_line,temperature_C,vibration_mm_s,pressure_bar,status,fault_type
2024-01-01 06:00:00,MACH-001,Line-C,74.68,0.275,102.97,Running,
2024-01-01 06:05:00,MACH-005,Line-A,77.86,0.436,98.63,Running,
2024-01-01 06:10:00,MACH-002,Line-C,73.15,0.498,104.58,Running,
2024-01-01 06:15:00,MACH-004,Line-A,86.0,0.27,102.53,Running,
2024-01-01 06:20:00,MACH-002,Line-A,89.29,1.913,103.67,Idle,
2024-01-01 06:25:00,MACH-001,Line-B,108.26,1.626,107.11,Warning,Vibration Spike
2024-01-01 06:30:00,MACH-001,Line-B,91.0,1.839,103.58,Idle,
2024-01-01 06:35:00,MACH-005,Line-A,73.48,0.086,92.71,Running,
2024-01-01 06:40:00,MACH-002,Line-B,90.66,0.445,106.54,Running,
2024-01-01 06:45:00,MACH-003,Line-B,69.18,0.359,104.99,Running,
2024-01-01 06:50:00,MACH-001,Line-C,89.14,1.752,92.29,Fault,Low Pressure
2024-01-01 06:55:00,MACH-005,Line-A,76.49,0.27,82.36,Running,
2024-01-01 07:00:00,MACH-002,Line-C,77.75,0.214,120.22,Running,
2024-01-01 07:05:00,MACH-003,Line-C,82.14,0.331,91.68,Running,
2024-01-01 07:10:00,MACH-004,Line-C,74.44,0.725,92.77,Running,
2024-01-01 07:15:00,MACH-004,Line-A,92.65,1.132,126.24,Fault,
2024-01-01 07:20:00,MACH-005,Line-C,95.58,1.204,103.38,Warning,Vibration Spike
2024-01-01 07:25:00,MACH-004,Line-B,98.87,1.497,108.92,Fault,Vibration Spike
2024-01-01 07:30:00,MACH-005,Line-C,90.62,0.392,115.93,Running,
2024-01-01 07:35:00,MACH-005,Line-B,75.92,0.532,90.94,Running,
2024-01-01 07:40:00,MACH-004,Line-C,55.99,0.713,105.56,Running,
2024-01-01 07:45:00,MACH-002,Line-C,90.6,1.974,93.88,Fault,Vibration Spike
2024-01-01 07:50:00,MACH-005,Line-C,102.78,2.217,83.16,Fault,Motor Fault
2024-01-01 07:55:00,MACH-001,Line-B,91.6,1.654,100.35,Fault,
2024-01-01 08:00:00,MACH-003,Line-B,90.34,0.719,104.0,Running,
2024-01-01 08:05:00,MACH-001,Line-C,93.89,2.036,108.2,Fault,Low Pressure
2024-01-01 08:10:00,MACH-002,Line-C,64.24,0.429,122.42,Running,
2024-01-01 08:15:00,MACH-002,Line-C,90.92,1.43,130.22,Idle,
2024-01-01 08:20:00,MACH-003,Line-C,89.24,1.868,101.9,Warning,
2024-01-01 08:25:00,MACH-002,Line-A,95.65,2.27,100.71,Fault,Motor Fault
2024-01-01 08:30:00,MACH-002,Line-C,88.14,0.167,106.65,Running,
2024-01-01 08:35:00,MACH-004,Line-C,77.54,0.034,96.09,Running,
2024-01-01 08:40:00,MACH-005,Line-B,98.13,1.268,101.65,Warning,Motor Fault
2024-01-01 08:45:00,MACH-003,Line-C,98.36,1.326,103.32,Warning,
2024-01-01 08:50:00,MACH-001,Line-A,69.04,0.657,104.88,Running,
2024-01-01 08:55:00,MACH-005,Line-A,90.38,1.586,103.81,Warning,Low Pressure
2024-01-01 09:00:00,MACH-001,Line-A,104.49,2.052,98.33,Warning,
2024-01-01 09:05:00,MACH-002,Line-B,74.65,0.214,106.36,Running,
2024-01-01 09:10:00,MACH-001,Line-B,58.16,1.101,98.33,Running,
2024-01-01 09:15:00,MACH-003,Line-A,108.94,1.618,90.18,Warning,
2024-01-01 09:20:00,MACH-003,Line-A,85.32,0.423,83.98,Running,
2024-01-01 09:25:00,MACH-001,Line-A,91.52,1.213,99.65,Fault,
2024-01-01 09:30:00,MACH-001,Line-B,96.79,1.709,118.11,Fault,Vibration Spike
2024-01-01 09:35:00,MACH-001,Line-A,101.59,1.725,98.64,Fault,Motor Fault
2024-01-01 09:40:00,MACH-004,Line-C,86.58,1.617,106.2,Idle,
2024-01-01 09:45:00,MACH-003,Line-C,72.84,0.484,105.27,Running,
2024-01-01 09:50:00,MACH-003,Line-C,111.91,1.497,113.91,Warning,
2024-01-01 09:55:00,MACH-001,Line-A,75.65,0.154,97.22,Running,
2024-01-01 10:00:00,MACH-003,Line-C,80.58,0.302,110.38,Running,
2024-01-01 10:05:00,MACH-003,Line-B,107.68,2.352,100.91,Fault,
2024-01-01 10:10:00,MACH-001,Line-B,73.48,1.127,99.72,Running,
2024-01-01 10:15:00,MACH-005,Line-C,70.35,0.459,93.39,Running,
2024-01-01 10:20:00,MACH-003,Line-B,94.88,2.456,113.47,Fault,
2024-01-01 10:25:00,MACH-001,Line-B,78.56,0.42,104.58,Running,
2024-01-01 10:30:00,MACH-002,Line-C,83.31,1.968,95.48,Idle,
2024-01-01 10:35:00,MACH-002,Line-A,93.54,2.001,88.61,Fault,Overheating
2024-01-01 10:40:00,MACH-004,Line-A,82.36,0.574,124.44,Running,
2024-01-01 10:45:00,MACH-003,Line-B,66.26,0.316,86.5,Running,
