record_id,date,machine_id,task_type,component,technician,duration_hours,cost_usd,notes
MR-0001,2024-01-26,MACH-002,Corrective,Belt,Tech-01,5.7,1771.89,Updated PLC firmware
MR-0002,2024-01-24,MACH-004,Emergency,PLC,Tech-03,5.6,1159.93,"Replaced worn bearing, vibration normalised"
MR-0003,2024-02-13,MACH-001,Corrective,Belt,Tech-02,6.3,718.13,Lubricated all moving parts as per schedule
MR-0004,2024-01-18,MACH-003,Corrective,Hydraulic Pump,Tech-04,4.0,818.43,Calibrated temperature sensor after drift detected
MR-0005,2024-01-23,MACH-005,Predictive,Bearing,Tech-02,5.3,309.54,"Flushed coolant system, replaced filter"
MR-0006,2024-02-06,MACH-003,Emergency,Coolant System,Tech-02,7.0,429.41,"Flushed coolant system, replaced filter"
MR-0007,2024-01-07,MACH-003,Emergency,Bearing,Tech-03,1.1,1377.03,Lubricated all moving parts as per schedule
MR-0008,2024-01-12,MACH-005,Predictive,PLC,Tech-04,1.8,1892.8,Emergency repair after motor fault alarm
MR-0009,2024-01-11,MACH-005,Corrective,Sensor,Tech-02,7.0,483.43,"Flushed coolant system, replaced filter"
MR-0010,2024-02-08,MACH-003,Preventive,Bearing,Tech-01,4.7,812.88,Lubricated all moving parts as per schedule
MR-0011,2024-01-02,MACH-004,Predictive,Sensor,Tech-03,0.6,674.86,Emergency repair after motor fault alarm
MR-0012,2024-02-13,MACH-003,Predictive,Bearing,Tech-01,2.0,1274.85,"Replaced worn bearing, vibration normalised"
MR-0013,2024-02-13,MACH-005,Preventive,Coolant System,Tech-01,7.4,1218.05,Calibrated temperature sensor after drift detected
MR-0014,2024-01-04,MACH-002,Predictive,Hydraulic Pump,Tech-02,2.5,123.5,"Belt tension adjusted, aligned rollers"
MR-0015,2024-01-24,MACH-002,Emergency,Belt,Tech-01,2.9,934.67,Lubricated all moving parts as per schedule
MR-0016,2024-01-21,MACH-002,Preventive,Bearing,Tech-02,3.2,1777.89,"Belt tension adjusted, aligned rollers"
MR-0017,2024-01-27,MACH-004,Preventive,Bearing,Tech-04,3.9,668.77,"Replaced worn bearing, vibration normalised"
MR-0018,2024-02-09,MACH-003,Corrective,PLC,Tech-01,2.6,1551.03,"Replaced worn bearing, vibration normalised"
MR-0019,2024-01-03,MACH-003,Corrective,Sensor,Tech-04,5.1,1898.55,"Replaced worn bearing, vibration normalised"
MR-0020,2024-02-14,MACH-005,Emergency,Hydraulic Pump,Tech-01,5.0,1678.08,"Belt tension adjusted, aligned rollers"
MR-0021,2024-01-31,MACH-001,Predictive,Belt,Tech-02,2.3,1052.8,"Flushed coolant system, replaced filter"
MR-0022,2024-01-23,MACH-004,Corrective,Bearing,Tech-03,4.7,1830.14,"Belt tension adjusted, aligned rollers"
MR-0023,2024-01-28,MACH-004,Preventive,Belt,Tech-04,6.4,927.07,Emergency repair after motor fault alarm
MR-0024,2024-01-18,MACH-003,Corrective,Bearing,Tech-04,5.8,1044.91,Updated PLC firmware
